age,education_level,skills,interests,career
22,Undergraduate,Programming,Technology,Software Engineer
30,Postgraduate,Management,Finance,Financial Analyst
25,Undergraduate,Design,Art,Graphic Designer
28,Postgraduate,Programming,Technology,Data Scientist
35,Postgraduate,Engineering,Technology,Mechanical Engineer
22,Undergraduate,Medicine,Healthcare,Doctor
24,Undergraduate,Communication,Media,Journalist
29,Postgraduate,Management,Technology,Product Manager
26,Undergraduate,Marketing,Sales,Marketing Specialist
32,Postgraduate,Engineering,Construction,Civil Engineer
23,Undergraduate,Data Analysis,Technology,Data Analyst
27,Undergraduate,Graphic Design,Art,Visual Designer
34,Postgraduate,Healthcare,Healthcare,Nurse
33,Postgraduate,Research,Technology,AI Researcher
31,Postgraduate,Project Management,Technology,IT Project Manager
24,Undergraduate,Sales,Marketing,Sales Representative
21,Undergraduate,Engineering,Technology,Electrical Engineer
30,Postgraduate,Law,Politics,Lawyer
27,Undergraduate,Teaching,Education,Teacher
29,Postgraduate,Finance,Economics,Investment Banker
26,Postgraduate,Healthcare,Healthcare,Pharmacist
30,Undergraduate,Computer Science,Technology,Systems Analyst
28,Postgraduate,Marketing,Advertising,Brand Manager
23,Undergraduate,Engineering,Technology,Civil Engineer
age,education_level,skills,interests,career
22,Undergraduate,Programming,Technology,Software Engineer
23,Undergraduate,Design,Art,Graphic Designer
24,Postgraduate,Management,Finance,Financial Analyst
25,Postgraduate,Programming,Technology,Data Scientist
26,Undergraduate,Design,Art,Visual Designer
27,Postgraduate,Engineering,Technology,Mechanical Engineer
28,Undergraduate,Marketing,Sales,Marketing Specialist
29,Postgraduate,Healthcare,Healthcare,Doctor
30,Postgraduate,Engineering,Technology,Electrical Engineer
31,Undergraduate,Programming,Technology,Systems Analyst
32,Postgraduate,Healthcare,Healthcare,Pharmacist
33,Postgraduate,Engineering,Technology,Civil Engineer
34,Undergraduate,Sales,Marketing,Sales Representative
35,Postgraduate,Law,Politics,Lawyer
36,Undergraduate,Project Management,Technology,IT Project Manager
37,Postgraduate,Finance,Economics,Investment Banker
38,Postgraduate,Healthcare,Healthcare,Nurse
39,Undergraduate,Communication,Media,Journalist
40,Postgraduate,Research,Technology,AI Researcher
41,Undergraduate,Teaching,Education,Teacher
22	Undergraduate	Programming	Technology	Software Engineer
30	Postgraduate	Management	Finance	Financial Analyst
25	Undergraduate	Design	Art	Graphic Designer
28	Postgraduate	Programming	Technology	Data Scientist
35	Postgraduate	Engineering	Technology	Mechanical Engineer
22	Undergraduate	Medicine	Healthcare	Doctor
24	Undergraduate	Communication	Media	Journalist
29	Postgraduate	Management	Technology	Product Manager
26	Undergraduate	Marketing	Sales	Marketing Specialist
32	Postgraduate	Engineering	Construction	Civil Engineer
23	Undergraduate	Data Analysis	Technology	Data Analyst
27	Undergraduate	Graphic Design	Art	Visual Designer
34	Postgraduate	Healthcare	Healthcare	Nurse
33	Postgraduate	Research	Technology	AI Researcher
31	Postgraduate	Project Management	Technology	IT Project Manager
24	Undergraduate	Sales	Marketing	Sales Representative
21	Undergraduate	Engineering	Technology	Electrical Engineer
30	Postgraduate	Law	Politics	Lawyer
27	Undergraduate	Teaching	Education	Teacher
29	Postgraduate	Finance	Economics	Investment Banker
26	Postgraduate	Healthcare	Healthcare	Pharmacist
30	Undergraduate	Computer Science	Technology	Systems Analyst
28	Postgraduate	Marketing	Advertising	Brand Manager
23	Undergraduate	Engineering	Technology	Civil Engineer
38	Postgraduate	Healthcare	Healthcare	Nurse
39	Undergraduate	Communication	Media	Journalist
25	Postgraduate	Research	Technology	Machine Learning Engineer
36	Postgraduate	Data Analysis	Finance	Business Analyst
40	Postgraduate	Engineering	Renewable Energy	Energy Consultant
28	Undergraduate	Marketing	Media	Digital Marketer
24	Undergraduate	Programming	Gaming	Game Developer
Age,Education Level,Skills,Interests,Career
22,High School,Programming,Technology,Software Engineer
30,Postgraduate,Management,Finance,Financial Analyst
25,Undergraduate,Design,Art,Graphic Designer
28,Postgraduate,Programming,Technology,Data Scientist
35,Postgraduate,Engineering,Technology,Mechanical Engineer
22,Undergraduate,Medicine,Healthcare,Doctor
24,Undergraduate,Communication,Media,Journalist
29,Postgraduate,Management,Technology,Product Manager
26,Undergraduate,Marketing,Sales,Marketing Specialist
32,Postgraduate,Engineering,Construction,Civil Engineer
23,Undergraduate,Data Analysis,Technology,Data Analyst
27,Undergraduate,Graphic Design,Art,Visual Designer
34,Postgraduate,Healthcare,Healthcare,Nurse
33,Postgraduate,Research,Technology,AI Researcher
31,Postgraduate,Project Management,Technology,IT Project Manager
24,Undergraduate,Sales,Marketing,Sales Representative
21,Undergraduate,Engineering,Technology,Electrical Engineer
30,Postgraduate,Law,Politics,Lawyer
27,Undergraduate,Teaching,Education,Teacher
29,Postgraduate,Finance,Economics,Investment Banker
26,Postgraduate,Healthcare,Healthcare,Pharmacist
30,Undergraduate,Computer Science,Technology,Systems Analyst
28,Postgraduate,Marketing,Advertising,Brand Manager
23,Undergraduate,Engineering,Technology,Civil Engineer
38,Postgraduate,Healthcare,Healthcare,Nurse
39,Undergraduate,Communication,Media,Journalist
25,Postgraduate,Research,Technology,Machine Learning Engineer
36,Postgraduate,Data Analysis,Finance,Business Analyst
40,Postgraduate,Engineering,Renewable Energy,Energy Consultant
28,Undergraduate,Marketing,Media,Digital Marketer
24,Undergraduate,Programming,Gaming,Game Developer
Age,Education Level,Skills,Interests,Career
17,High School,Art and Creativity,Design,Graphic Artist
18,High School,Coding Basics,Technology,Junior Web Developer
16,High School,Public Speaking,Communication,Social Media Manager
17,High School,Writing,Journalism,Content Creator
18,High School,Mathematics,Finance,Data Entry Clerk
17,High School,Science Experiments,Healthcare,Lab Assistant
16,High School,Problem Solving,Engineering,Technical Intern
18,High School,Event Planning,Media,Event Coordinator
17,High School,Customer Service,Sales,Retail Associate
16,High School,Photography,Art,Freelance Photographer
Age,Education Level,Skills,Interests,Career
16,High School,Art and Creativity,Design,Graphic Artist
17,High School,Coding Basics,Technology,Junior Web Developer
18,High School,Public Speaking,Communication,Social Media Manager
16,High School,Writing,Journalism,Content Creator
17,High School,Mathematics,Finance,Data Entry Clerk
16,High School,Science Experiments,Healthcare,Lab Assistant
17,High School,Problem Solving,Engineering,Technical Intern
18,High School,Event Planning,Media,Event Coordinator
16,High School,Customer Service,Sales,Retail Associate
17,High School,Photography,Art,Freelance Photographer
18,High School,Teamwork,Sports,Assistant Coach
17,High School,Video Editing,Media,Video Editor Intern
16,High School,Organizational Skills,Administration,Office Assistant
18,High School,Teaching,Education,Tutor
17,High School,Creativity and Crafting,Art,Handmade Product Seller
16,High School,Cooking,Food,Kitchen Assistant
17,High School,Mechanical Skills,Technology,Apprentice Mechanic
18,High School,Social Skills,Healthcare,Patient Care Assistant
16,High School,Gaming and Strategy,Technology,Game Tester
17,High School,Analytical Thinking,Research,Research Assistant
16,High School,Musical Talent,Music,Instrumental Teacher
18,High School,Dancing,Performing Arts,Dance Instructor
17,High School,Animal Care,Wildlife,Pet Groomer
16,High School,Language Skills,Communication,Translator Intern
Age,Education Level,Skills,Interests,Career
20,Undergraduate,Programming,Technology,Software Developer Intern
21,Undergraduate,Data Analysis,Finance,Junior Data Analyst
22,Undergraduate,Design,Art,Graphic Designer
19,Undergraduate,Public Speaking,Communication,Marketing Assistant
20,Undergraduate,Teamwork,Sports,Sports Coach
21,Undergraduate,Writing,Journalism,Content Writer
22,Undergraduate,Social Media Management,Media,Digital Marketing Specialist
19,Undergraduate,Problem Solving,Engineering,Junior Engineer
20,Undergraduate,Research Skills,Healthcare,Clinical Research Assistant
21,Undergraduate,Teaching,Education,Teaching Assistant
22,Undergraduate,Event Planning,Hospitality,Event Coordinator
20,Undergraduate,Customer Relations,Sales,Sales Representative
19,Undergraduate,Photography,Art,Photographer
21,Undergraduate,Creativity,Design,UI/UX Designer
22,Undergraduate,Analytical Thinking,Technology,Data Scientist Intern
20,Undergraduate,Language Skills,Translation,Translator
21,Undergraduate,Organizational Skills,Administration,Administrative Assistant
22,Undergraduate,Music Production,Music,Music Producer
19,Undergraduate,Networking,Technology,IT Support Specialist
20,Undergraduate,Leadership,Management,Operations Coordinator
21,Undergraduate,Cooking,Food,Culinary Assistant
22,Undergraduate,Writing,Publishing,Technical Writer
20,Undergraduate,Video Editing,Media,Video Editor
19,Undergraduate,Animal Care,Wildlife,Veterinary Assistant
21,Undergraduate,Entrepreneurship,Business,Startup Founder
22,Undergraduate,Illustration,Art,Freelance Illustrator
20,Undergraduate,Software Development,Technology,Mobile App Developer
21,Undergraduate,SEO Optimization,Media,SEO Specialist
19,Undergraduate,Scientific Research,Science,Laboratory Technician
22,Undergraduate,Critical Thinking,Law,Legal Assistant
Age,Education Level,Skills,Interests,Career
20,Undergraduate,Programming,Technology,Software Developer Intern
21,Undergraduate,Data Analysis,Finance,Junior Data Analyst
22,Undergraduate,Design,Art,Graphic Designer
19,Undergraduate,Public Speaking,Communication,Marketing Assistant
20,Undergraduate,Teamwork,Sports,Sports Coach
21,Undergraduate,Writing,Journalism,Content Writer
22,Undergraduate,Social Media Management,Media,Digital Marketing Specialist
19,Undergraduate,Problem Solving,Engineering,Junior Engineer
20,Undergraduate,Research Skills,Healthcare,Clinical Research Assistant
21,Undergraduate,Teaching,Education,Teaching Assistant
22,Undergraduate,Event Planning,Hospitality,Event Coordinator
20,Undergraduate,Customer Relations,Sales,Sales Representative
19,Undergraduate,Photography,Art,Photographer
21,Undergraduate,Creativity,Design,UI/UX Designer
22,Undergraduate,Analytical Thinking,Technology,Data Scientist Intern
20,Undergraduate,Language Skills,Translation,Translator
21,Undergraduate,Organizational Skills,Administration,Administrative Assistant
22,Undergraduate,Music Production,Music,Music Producer
19,Undergraduate,Networking,Technology,IT Support Specialist
20,Undergraduate,Leadership,Management,Operations Coordinator
21,Undergraduate,Cooking,Food,Culinary Assistant
22,Undergraduate,Writing,Publishing,Technical Writer
20,Undergraduate,Video Editing,Media,Video Editor
19,Undergraduate,Animal Care,Wildlife,Veterinary Assistant
21,Undergraduate,Entrepreneurship,Business,Startup Founder
22,Undergraduate,Illustration,Art,Freelance Illustrator
20,Undergraduate,Software Development,Technology,Mobile App Developer
21,Undergraduate,SEO Optimization,Media,SEO Specialist
19,Undergraduate,Scientific Research,Science,Laboratory Technician
22,Undergraduate,Critical Thinking,Law,Legal Assistant
20,Undergraduate,Physics,Space Exploration,Space Research Intern
21,Undergraduate,Community Engagement,Non-Profit,Volunteer Coordinator
22,Undergraduate,Economics,Finance,Investment Analyst Intern
19,Undergraduate,Mechanical Skills,Engineering,Automotive Engineer Intern
20,Undergraduate,Crisis Management,Healthcare,Emergency Medical Technician
21,Undergraduate,Artistic Creativity,Entertainment,Set Designer
22,Undergraduate,Robotics,Technology,Robotics Engineer Intern
20,Undergraduate,Journalistic Writing,Media,News Reporter
21,Undergraduate,Chemical Analysis,Science,Chemistry Lab Technician
22,Undergraduate,Business Strategy,Business,Business Analyst Intern
19,Undergraduate,Game Design,Technology,Game Developer
20,Undergraduate,Environmental Science,Nature,Environmental Consultant Intern
21,Undergraduate,Healthcare Management,Healthcare,Hospital Administrator Assistant
22,Undergraduate,Digital Illustration,Art,Graphic Animator
19,Undergraduate,Construction Management,Engineering,Site Supervisor Intern
20,Undergraduate,Database Management,Technology,Database Administrator Intern
21,Undergraduate,Marketing Analytics,Business,Marketing Research Analyst
22,Undergraduate,Legal Research,Law,Paralegal Assistant
Age,Education Level,Skills,Interests,Career
21,Undergraduate,Cybersecurity,Technology,Cybersecurity Analyst Intern
22,Undergraduate,Econometrics,Finance,Quantitative Analyst Intern
20,Undergraduate,Creative Writing,Literature,Novelist
21,Undergraduate,Public Health,Healthcare,Community Health Educator
19,Undergraduate,Sustainable Design,Environment,Green Building Consultant
22,Undergraduate,AI Development,Technology,Machine Learning Intern
20,Undergraduate,Ethical Hacking,Technology,Penetration Tester Intern
21,Undergraduate,Supply Chain Management,Business,Logistics Coordinator
22,Undergraduate,Human Resources,Business,HR Assistant
19,Undergraduate,Foreign Languages,Culture,Language Tutor
20,Undergraduate,3D Modeling,Design,Game Asset Designer
21,Undergraduate,Archaeology,History,Archaeological Assistant
22,Undergraduate,Public Policy,Politics,Policy Analyst Intern
19,Undergraduate,Photography,Wildlife,Wildlife Photographer
20,Undergraduate,Sound Engineering,Music,Audio Engineer Intern
21,Undergraduate,App Development,Technology,Frontend Developer Intern
22,Undergraduate,Film Editing,Media,Film Editor
19,Undergraduate,Social Psychology,Research,Behavioral Research Assistant
20,Undergraduate,Drone Operation,Technology,Drone Pilot Intern
21,Undergraduate,Geographic Information Systems,Environment,Cartographer
22,Undergraduate,Event Marketing,Hospitality,Event Promotions Coordinator
19,Undergraduate,Coding for Web,Technology,Junior Full Stack Developer
20,Undergraduate,Conflict Resolution,Law,Mediator Assistant
21,Undergraduate,Renewable Energy,Environment,Wind Energy Technician
22,Undergraduate,Health Informatics,Healthcare,Healthcare IT Specialist
19,Undergraduate,Painting,Art,Visual Artist
20,Undergraduate,Fashion Design,Style,Fashion Stylist Assistant
21,Undergraduate,Aviation,Technology,Flight Operations Specialist
22,Undergraduate,Social Work,Non-Profit,Social Work Intern
19,Undergraduate,Blockchain Development,Finance,Blockchain Developer Intern
20,Undergraduate,Virtual Reality Design,Technology,VR Experience Designer
21,Undergraduate,Zoology,Wildlife,Zoo Educator
22,Undergraduate,Marine Biology,Science,Marine Research Assistant
19,Undergraduate,E-commerce,Sales,E-commerce Manager Assistant
20,Undergraduate,Interior Design,Art,Junior Interior Designer
21,Undergraduate,Podcast Production,Media,Podcast Producer
22,Undergraduate,Ethnography,Anthropology,Research Assistant in Anthropology
19,Undergraduate,Forensic Science,Criminology,Forensic Lab Technician
20,Undergraduate,Cultural Studies,Humanities,Museum Curator Assistant
21,Undergraduate,Nanotechnology,Engineering,Nanotech Research Assistant
22,Undergraduate,Digital Marketing Strategies,Media,PPC Campaign Specialist
19,Undergraduate,Animation,Art,2D Animator
20,Undergraduate,Video Game Testing,Technology,Quality Assurance Tester
21,Undergraduate,Biology,Science,Genetics Research Intern
22,Undergraduate,Public Relations,Media,PR Coordinator
19,Undergraduate,Robotics Programming,Technology,Mechatronics Intern
